source_id,family_hint,sheet,sheet_normalized,sheet_signature,state,nonempty_cells,text_cells,numeric_cells,formula_cells,date_cells,min_row,max_row,min_column,max_column,merged_ranges
mortgage_debt_ind,mortgage_and_household_loans,в рублях,в рублях,врублях,visible,8924,97,8736,0,91,2,99,1,92,1
mortgage_debt_ind,mortgage_and_household_loans,в т.ч. просроч. в рублях,в т.ч. просроч. в рублях,втчпросрочврублях,visible,8924,97,8736,0,91,2,99,1,92,1
mortgage_debt_ind,mortgage_and_household_loans,в инвалюте,в инвалюте,винвалюте,visible,8924,97,8736,0,91,2,99,1,92,1
mortgage_debt_ind,mortgage_and_household_loans,в т.ч. просроч. в инвалюте,в т.ч. просроч. в инвалюте,втчпросрочвинвалюте,visible,8924,97,8736,0,91,2,99,1,92,1
mortgage_debt_ind,mortgage_and_household_loans,итого,итого,итого,visible,8924,97,8736,0,91,2,99,1,92,1
mortgage_debt_ind,mortgage_and_household_loans,в т.ч. просроч.,в т.ч. просроч.,втчпросроч,visible,8924,97,8736,0,91,2,99,1,92,1
mortgage_debt,mortgage_and_household_loans,в рублях,в рублях,врублях,visible,8924,97,8736,0,91,1,98,1,92,1
mortgage_debt,mortgage_and_household_loans,в т.ч. просроч. в рублях,в т.ч. просроч. в рублях,втчпросрочврублях,visible,8924,97,8736,0,91,1,98,1,92,1
mortgage_debt,mortgage_and_household_loans,по приобр. правам в рублях,по приобр. правам в рублях,поприобрправамврублях,visible,6305,97,6144,0,64,1,98,1,65,1
mortgage_debt,mortgage_and_household_loans,с учетом приобр. прав в рублях,с учетом приобр. прав в рублях,сучетомприобрправврублях,visible,6305,97,6144,0,64,1,98,1,65,1
mortgage_debt,mortgage_and_household_loans,в инвалюте,в инвалюте,винвалюте,visible,8924,97,8736,0,91,1,98,1,92,1
mortgage_debt,mortgage_and_household_loans,в т.ч. просроч. в инвалюте,в т.ч. просроч. в инвалюте,втчпросрочвинвалюте,visible,8924,97,8736,0,91,1,98,1,92,1
mortgage_debt,mortgage_and_household_loans,по приобр. правам в инвалюте,по приобр. правам в инвалюте,поприобрправамвинвалюте,visible,6305,97,6144,0,64,1,98,1,65,1
mortgage_debt,mortgage_and_household_loans,с учетом приобр. прав в инвал,с учетом приобр. прав в инвал,сучетомприобрправвинвал,visible,6305,97,6144,0,64,1,98,1,65,1
mortgage_debt,mortgage_and_household_loans,итого,итого,итого,visible,8924,97,8736,0,91,1,98,1,92,1
mortgage_debt,mortgage_and_household_loans,в т.ч. просроч.,в т.ч. просроч.,втчпросроч,visible,8924,97,8736,0,91,1,98,1,92,1
